Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
"Hoke County, dba: Hoke Area Transit Service",Raeford,NC,40209,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,29440,"Fayetteville, NC",325008,9,DR,Demand Response,DO,9,0,,0,,0,,0,,1319486,,1319486,,0,
Lavaca County,Hallettsville,TX,66280,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,PT,9,0,,0,,0,,0,,301220,,301220,,0,
"Wells County Council on Aging , dba: Wells on Wheels",Bluffton,IN,50403,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,755900,,755900,,0,
"Neighbor to Neighbor Volunteers, dba: Mountain Valley Transit",Salida,CO,80237,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,747170,,747170,,0,
"Cardinal Services , dba: Kosciusko Area Bus Service",Warsaw,IN,50289,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,799838,,799838,,0,
Yosemite Area Regional Transportation System,Merced,CA,91070,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,9,MB,Bus,PT,9,0,,0,,0,,0,,3678726,,3678726,,0,
"Morrow County, dba: Morrow County Loop",Heppner,OR,00409,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,545444,,545444,,0,
"Liberty County Board of County Commissioners, dba: Liberty Transit",Bristol,FL,40923,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,570187,,570187,,0,
Eastern Nebraska,Omaha,NE,70160,Area Agency on Aging,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,402070,,402070,,0,
"Richland County , dba: Richland County Transportation Service",Sidney,MT,80259,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,396347,,396347,,0,
TransIV Buses - College of Southern Idaho,Twin Falls,ID,00357,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,110807,,110807,,0,
Champaign Transit System,Urbana,OH,50284,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,577584,,577584,,0,
"Noble County Council on Aging , dba: Noble Transit System",Albion,IN,50422,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,667177,,667177,,0,
Madison County Transportation Authority,Marshall,NC,40976,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,578140,,578140,,0,
"LaGrange County Council on Aging , dba: LaGrange County Area Transit",Lagrange,IN,50305,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,1137572,,1137572,,0,
"Central Oklahoma Community Action Agency, dba: Central Oklahoma Transit System",Shawnee,OK,60259,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,571144,,571144,,0,
"Brainerd, City of, dba: Brainerd & Crow Wing Public Transit",Brainerd,MN,50322,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,1525326,,1525326,,0,
Cedar County Transit,Hartington,NE,70212,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,655383,,655383,,0,
"City of Jacksonville, dba: Jacksonville Transit",Jacksonville,NC,40166,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,42400,"Jacksonville, NC",111224,9,MB,Bus,DO,9,0,,0,,0,,0,,2125688,,2125688,,0,
YWCA Madison Inc.,Madison,WI,50524,Private-Non-Profit Corporation,Reduced Reporter,2023,53200,"Madison, WI",450305,9,DR,Demand Response,DO,9,0,,0,,0,,0,,668200,,668200,,0,
Schoolcraft Transit Authority,Manistique,MI,50240,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,1011419,,1011419,,0,
Kaibab Band of Paiute Indians,Fredonia,AZ,99340,Tribe,Reduced Reporter,2023,00004,Arizona Non-UZA,1296856,9,DR,Demand Response,DO,9,0,,0,,0,,0,,225727,,225727,,0,
"Mt Si Senior Center, dba: Snoqualmie Valley Transportation",North Bend,WA,00317,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,1500994,,1500994,,0,
"Marshall County Council on Aging , dba: Marshall County Public Transit",Plymouth,IN,50246,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,555495,,555495,,0,
Cass County Transportation Authority,Cassopolis,MI,50310,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,9,DR,Demand Response,PT,9,0,,0,,0,,0,,493844,,493844,,0,
"Delta Community Action Foundation, Inc., dba: Delta Public Transit",Lindsay,OK,60183,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,351903,,351903,,0,
"City of Owensboro, dba: Owensboro Transit Systems",,KY,40020,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,66484,"Owensboro, KY",76433,9,MB,Bus,DO,9,0,,0,,0,,0,,2299680,,2299680,,0,
Noxubee County Human Resource Agency,Macon,MS,44948,Other Publicly-Owned or Privately Chartered Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,251748,,251748,,0,
"City of Onalaska, dba: DriftLink Public Transit",Onalaska,WI,50152,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,45910,"La Crosse, WI--MN",98872,9,DR,Demand Response,PT,9,0,,0,,0,,0,,982248,,982248,,0,
Gogebic County Transit,Ironwood,MI,50455,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,750994,,750994,,0,
"City of Watertown, dba: Watertown Transit",Watertown,WI,50319,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,PT,9,0,,0,,0,,0,,845197,,845197,,0,
Calcasieu Parish Police Jury,Lake Charles,LA,60198,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,816879,,816879,,0,
"City of Monroe, dba: Monroe Cab Company",Monroe,WI,50235,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,PT,9,0,,0,,0,,0,,397980,,397980,,0,
"Greene County, dba: Greene County Transit",Catskill,NY,20931,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,MB,Bus,PT,9,0,,0,,0,,0,,1113740,,1113740,,0,
"Campbell County Senior Citizens Association Inc, dba: Campbell County Senior Center",Gillette,WY,80163,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,369408,,369408,,0,
"Canon City Golden Age Council, Inc, dba: Fremont County Transit",Canon City,CO,80274,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,280697,,280697,,0,
"Black River Area Development Corporation, dba: Black River Area Development Public Transit",Pocahontas,AR,60250,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,356244,,356244,,0,
Access Tusc,New Philadelphia,OH,55657,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,667233,,667233,,0,
"Boise State University, dba: Bronco Shuttles",Boise,ID,00416,University,Reduced Reporter,2023,08785,"Boise City, ID",433180,9,MB,Bus,DO,9,0,,0,,0,,0,,635858,,635858,,0,
"Fayette County Senior Center, dba: Fayette County Public Transit",Connersville,IN,50399,Area Agency on Aging,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,514035,,514035,,0,
Allen Parish Police Jury,Oberlin,LA,60249,Area Agency on Aging,Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,347745,,347745,,0,
"Pickaway Area Rural Transit, dba: PICCA Transit",Circleville,OH,50434,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,8,0,,0,,0,,0,,506241,,506241,,0,
"City of Inglewood, dba: Inglewood Senior Center",Inglewood,CA,90268,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,9,DR,Demand Response,DO,8,0,,0,,0,,0,,965035,,965035,,0,
Lewiston-Auburn Transit Committee,Auburn,ME,10015,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,49339,"Lewiston, ME",60743,9,MB,Bus,PT,7,0,,0,,0,,0,,2036935,,2036935,,0,
Municipality of San Lorenzo,San Lorenzo,PR,40195,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,79093,"San Juan, PR",1844410,9,MB,Bus,DO,7,0,,0,,0,,0,,606903,,606903,,0,
Municipality of Camuy,Camuy,PR,40160,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,03034,"Arecibo, PR",123724,9,MB,Bus,PT,7,0,,0,,0,,0,,1376903,,1376903,,0,
"Door County, dba: Door County Connect",Sturgeon Bay,WI,50366,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,TX,7,0,,0,,0,,0,,818152,,818152,,0,
Southeast Kansas Community Action Program,Girard,KS,70078,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,DR,Demand Response,DO,7,0,,0,,0,,0,,466914,,466914,,0,
"City of Joplin, dba: Metro Area Public Transit System",Joplin,MO,70040,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,43399,"Joplin, MO",86679,9,DR,Demand Response,DO,6,0,,0,,0,,0,,1015982,,1015982,,0,
"City of Cottonwood, dba: Cottonwood Area Transit",Cottonwood,AZ,91010,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,MB,Bus,DO,6,0,,0,,0,,0,,2240475,,2240475,,0,
"Lorain County, dba: Lorain County Transit",Elyria,OH,50095,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51364,"Lorain--Elyria, OH",199067,9,DR,Demand Response,PT,6,0,,0,,0,,0,,1995868,,1995868,,0,
"City of Gastonia, dba: Gastonia Transit",Gastonia,NC,40010,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,32653,"Gastonia, NC",176897,9,MB,Bus,DO,6,0,,0,,0,,0,,2312177,,2312177,,0,
"City of Loveland, Colorado, dba: City of Loveland Transit",Loveland,CO,80025,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2023,30628,"Fort Collins, CO",326332,9,MB,Bus,DO,6,2028249,,268060,,63231,,360414,,0,,2719954,,0,
"City of Port Arthur , dba: Port Arthur Transit",Port Arthur,TX,60013,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,70993,"Port Arthur, TX",116819,9,MB,Bus,DO,6,0,,0,,0,,0,,2143886,,2143886,,0,
"City of Richmond, dba: RoseView Transit",Richmond,IN,50249,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,MB,Bus,DO,6,0,,0,,0,,0,,1040462,,1040462,,0,
"Faribault-Martin Counties Joint Powers, dba: Prairie Lakes Transit",Fairmont,MN,55320,"MPO, COG or Other Planning Agency",Rural Reporter,2023,,,,9,DR,Demand Response,DO,6,0,,0,,0,,0,,866058,,866058,,0,
City of Canby,Canby,OR,00330,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,71317,"Portland, OR--WA",2104238,9,MB,Bus,PT,5,0,,0,,0,,0,,2007147,,2007147,,0,
Madera County,Madera,CA,91005,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,52984,"Madera, CA",81635,9,CB,Commuter Bus,PT,5,0,,0,,0,,0,,1672430,,1672430,,0,
"City of Delano, dba: Delano Area Rapid Transit",Delano,CA,90238,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,00006,California Non-UZA,4357850,9,DR,Demand Response,DO,5,0,,0,,0,,0,,649749,,649749,,0,
Selkirks-Pend Oreille Transit Authority,Dover,ID,00341,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,9,MB,Bus,DO,5,0,,0,,0,,0,,759335,,759335,,0,
"City of Jonesboro , dba: JET",Jonesboro,AR,60104,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,43345,"Jonesboro, AR",73781,9,MB,Bus,DO,5,0,,0,,0,,0,,595024,,595024,,0,
"City of Eureka , dba: Eureka Transit Service",Eureka,CA,91093,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,PT,5,0,,0,,0,,0,,830628,,830628,,0,
"San Benito County Local Transportation Authority, dba: San Benito County Express",Hollister,CA,91009,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,9,DR,Demand Response,PT,5,0,,0,,0,,0,,1491250,,1491250,,0,
Madera County,Madera,CA,91005,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,52984,"Madera, CA",81635,9,DR,Demand Response,PT,4,0,,0,,0,,0,,557477,,557477,,0,
"Southern Nevada Transit Coalition, dba: SNTC - Laughlin",Laughlin,NV,91072,Private-Non-Profit Corporation,Reduced Reporter,2023,11431,"Bullhead City, AZ--NV",54396,9,MB,Bus,DO,4,0,,0,,0,,0,,1772577,,1772577,,0,
City of Canby,Canby,OR,00330,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,71317,"Portland, OR--WA",2104238,9,DR,Demand Response,PT,4,0,,0,,0,,0,,641206,,641206,,0,
"City of Delano, dba: Delano Area Rapid Transit",Delano,CA,90238,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,00006,California Non-UZA,4357850,9,MB,Bus,DO,4,0,,0,,0,,0,,1630072,,1630072,,0,
"City of Eureka , dba: Eureka Transit Service",Eureka,CA,91093,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,MB,Bus,PT,4,0,,0,,0,,0,,1403009,,1403009,,0,
Selkirks-Pend Oreille Transit Authority,Dover,ID,00341,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,9,DR,Demand Response,DO,4,0,,0,,0,,0,,232550,,232550,,0,
"City of Jonesboro , dba: JET",Jonesboro,AR,60104,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,43345,"Jonesboro, AR",73781,9,DR,Demand Response,DO,4,0,,0,,0,,0,,506872,,506872,,0,
"City of Joplin, dba: Metro Area Public Transit System",Joplin,MO,70040,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,43399,"Joplin, MO",86679,9,MB,Bus,DO,3,0,,0,,0,,0,,93169,,93169,,0,
"City of Richmond, dba: RoseView Transit",Richmond,IN,50249,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,3,0,,0,,0,,0,,102903,,102903,,0,
"Lorain County, dba: Lorain County Transit",Elyria,OH,50095,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51364,"Lorain--Elyria, OH",199067,9,MB,Bus,PT,3,0,,0,,0,,0,,855372,,855372,,0,
"Southern Nevada Transit Coalition, dba: SNTC - Laughlin",Laughlin,NV,91072,Private-Non-Profit Corporation,Reduced Reporter,2023,11431,"Bullhead City, AZ--NV",54396,9,DR,Demand Response,DO,3,0,,0,,0,,0,,339963,,339963,,0,
"City of Cottonwood, dba: Cottonwood Area Transit",Cottonwood,AZ,91010,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,3,0,,0,,0,,0,,54335,,54335,,0,
"City of Gastonia, dba: Gastonia Transit",Gastonia,NC,40010,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,32653,"Gastonia, NC",176897,9,DR,Demand Response,DO,3,0,,0,,0,,0,,261810,,261810,,0,
"Faribault-Martin Counties Joint Powers, dba: Prairie Lakes Transit",Fairmont,MN,55320,"MPO, COG or Other Planning Agency",Rural Reporter,2023,,,,9,MB,Bus,DO,3,0,,0,,0,,0,,382294,,382294,,0,
"City of Loveland, Colorado, dba: City of Loveland Transit",Loveland,CO,80025,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2023,30628,"Fort Collins, CO",326332,9,DR,Demand Response,TX,3,273450,,109351,,7125,,173934,,0,,563860,,0,
"City of Port Arthur , dba: Port Arthur Transit",Port Arthur,TX,60013,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,70993,"Port Arthur, TX",116819,9,DR,Demand Response,DO,3,0,,0,,0,,0,,349652,,349652,,0,
"San Benito County Local Transportation Authority, dba: San Benito County Express",Hollister,CA,91009,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,9,CB,Commuter Bus,PT,2,0,,0,,0,,0,,619479,,619479,,0,
Lewiston-Auburn Transit Committee,Auburn,ME,10015,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,49339,"Lewiston, ME",60743,9,DR,Demand Response,PT,2,0,,0,,0,,0,,213070,,213070,,0,
"Southern Nevada Transit Coalition, dba: SNTC - Laughlin",Laughlin,NV,91072,Private-Non-Profit Corporation,Reduced Reporter,2023,11431,"Bullhead City, AZ--NV",54396,9,CB,Commuter Bus,DO,2,0,,0,,0,,0,,530161,,530161,,0,
Municipality of San Lorenzo,San Lorenzo,PR,40195,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,79093,"San Juan, PR",1844410,9,DR,Demand Response,DO,2,0,,0,,0,,0,,65904,,65904,,0,
Southeast Kansas Community Action Program,Girard,KS,70078,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,MB,Bus,DO,2,0,,0,,0,,0,,192025,,192025,,0,
Municipality of Camuy,Camuy,PR,40160,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,03034,"Arecibo, PR",123724,9,DR,Demand Response,DO,2,0,,0,,0,,0,,71996,,71996,,0,
"San Benito County Local Transportation Authority, dba: San Benito County Express",Hollister,CA,91009,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,9,MB,Bus,PT,2,0,,0,,0,,0,,72319,,72319,,0,
"Door County, dba: Door County Connect",Sturgeon Bay,WI,50366,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,2,0,,0,,0,,0,,176338,,176338,,0,
"Pickaway Area Rural Transit, dba: PICCA Transit",Circleville,OH,50434,Private-Non-Profit Corporation,Rural Reporter,2023,,,,9,MB,Bus,DO,1,0,,0,,0,,0,,82936,,82936,,0,
